2021-05-05	15:55:51	DROP DATABASE IF EXISTS TexasPower	11 row(s) affected	0.717 sec

2021-05-05	15:55:51	CREATE DATABASE TexasPower	1 row(s) affected	0.000 sec

2021-05-05	15:55:51	use TexasPower	0 row(s) affected	0.000 sec

2021-05-05	15:55:52	CREATE TABLE `Plant` (   `plant_id` int UNIQUE PRIMARY KEY,   `supervisor` int,   `name` varchar(255) )	0 row(s) affected	0.078 sec

2021-05-05	15:55:52	CREATE TABLE `Employee` (      `employee_id` int UNIQUE PRIMARY KEY,      `first_name` varchar(255),      `last_name` varchar(255),      `works_at` int,      `managed_by` int,      `role` smallint  )	0 row(s) affected	0.078 sec

2021-05-05	15:55:52	CREATE TABLE `Client` (   `client_id` int UNIQUE PRIMARY KEY,   `name` varchar(255),   `located_in` varchar(255) )	0 row(s) affected	0.093 sec

2021-05-05	15:55:52	CREATE TABLE `Maintenance` (   `started_on` date,   `ended_on` date,   `description` varchar(255),   `total_cost` float,   `supervisor` int,   `performed_at` int )	0 row(s) affected	0.062 sec

2021-05-05	15:55:52	CREATE TABLE `Energy_Produced` (   `kilowatts_produced` float,   `plant` int,   `date` date )	0 row(s) affected	0.063 sec

2021-05-05	15:55:52	CREATE TABLE `Energy_sold` (   `plant` int,   `client` int,   `date` date,   `kilowatts_sold` bigint,   `dollar_per_kilowatt` float )	0 row(s) affected	0.312 sec

2021-05-05	15:55:52	CREATE TABLE `Hours_Worked` (   `employee` int,   `hours_worked` float,   `date` date )	0 row(s) affected	0.093 sec

2021-05-05	15:55:53	CREATE TABLE `Role` (   `role_id` smallint UNIQUE PRIMARY KEY,   `pay_rate` float,   `name` varchar(255) )	0 row(s) affected	0.078 sec

2021-05-05	15:55:53	CREATE TABLE `Solar_Plants` (   `plant` int,   `paneling` float,   `square_miles` float )	0 row(s) affected	0.078 sec

2021-05-05	15:55:53	CREATE TABLE `Wind_Plants` (   `plant` int,   `percent_winterized` float,   `number_of_windmills` int )	0 row(s) affected	0.078 sec

2021-05-05	15:55:53	CREATE TABLE `Hydro_Plants` (   `plant` int,   `average_flowrate` float,   `body_of_water` varchar(255) )	0 row(s) affected	0.078 sec

2021-05-05	15:55:53	ALTER TABLE `Plant` ADD FOREIGN KEY (`supervisor`) REFERENCES `Employee` (`employee_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.187 sec

2021-05-05	15:55:53	ALTER TABLE `Employee` ADD FOREIGN KEY (`works_at`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.203 sec

2021-05-05	15:55:54	ALTER TABLE `Employee` ADD FOREIGN KEY (`managed_by`) REFERENCES `Employee` (`employee_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.156 sec

2021-05-05	15:55:54	ALTER TABLE `Employee` ADD FOREIGN KEY (`role`) REFERENCES `Role` (`role_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.188 sec

2021-05-05	15:55:54	ALTER TABLE `Maintenance` ADD FOREIGN KEY (`supervisor`) REFERENCES `Employee` (`employee_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.218 sec

2021-05-05	15:55:54	ALTER TABLE `Maintenance` ADD FOREIGN KEY (`performed_at`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.640 sec

2021-05-05	15:55:55	ALTER TABLE `Energy_Produced` ADD FOREIGN KEY (`plant`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.172 sec

2021-05-05	15:55:55	ALTER TABLE `Energy_sold` ADD FOREIGN KEY (`plant`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.172 sec

2021-05-05	15:55:55	ALTER TABLE `Energy_sold` ADD FOREIGN KEY (`client`) REFERENCES `Client` (`client_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.172 sec

2021-05-05	15:55:55	ALTER TABLE `Hours_Worked` ADD FOREIGN KEY (`employee`) REFERENCES `Employee` (`employee_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.172 sec

2021-05-05	15:55:56	ALTER TABLE `Solar_Plants` ADD FOREIGN KEY (`plant`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.858 sec

2021-05-05	15:55:57	ALTER TABLE `Wind_Plants` ADD FOREIGN KEY (`plant`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.203 sec

2021-05-05	15:55:57	ALTER TABLE `Hydro_Plants` ADD FOREIGN KEY (`plant`) REFERENCES `Plant` (`plant_id`)	0 row(s) affected Records: 0  Duplicates: 0  Warnings: 0	0.156 sec

2021-05-05	15:56:01	use TexasPower	0 row(s) affected	0.000 sec

2021-05-05	15:56:01	INSERT INTO Role VALUES (1, 17, 'Operator'), (2, 11, 'Cleaner'), (3, 20, 'Manager')	3 row(s) affected Records: 3  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO Plant VALUES (1, NULL, 'Luminant Station'), (2, NULL, 'Leeward Renewable Energy'), (3, NULL, 'Denison Dam Hydroelectric Power Plant'), (4, NULL, 'Spencer Generating Station'), (5, NULL, 'Exelon Power Texas'), (6, NULL, 'River Bend Station'), (7, NULL, 'Exelon Power Texas'), (8, NULL, 'AZZ Wind'), (9, NULL, 'Panda Power Plant')	9 row(s) affected Records: 9  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO Hydro_Plants VALUES (1, 3.05, 'Seymour River'), (2, 4.19, 'Ogallala River'), (3, 3.96, 'Hueco River')	3 row(s) affected Records: 3  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO Solar_Plants VALUES (4, 2059, 1060), (5, 1020, 940), (6, 1569, 1024)	3 row(s) affected Records: 3  Duplicates: 0  Warnings: 0	0.015 sec

2021-05-05	15:56:01	INSERT INTO Wind_Plants VALUES (7, 60.43, 160), (8, 72.43, 185), (9, 75.54, 230)	3 row(s) affected Records: 3  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO `Client` VALUES (1, 'City of Dallas', 'Dallas'), (2, 'Coin Mining Co', 'Austin'), (3, 'Fiesta Texas', 'San Antonio'), (4, 'Amazon Web Services', 'Austin'), (5, 'Cloudflare' , 'Austin')	5 row(s) affected Records: 5  Duplicates: 0  Warnings: 0	0.000 sec

